2025-03-15 14:00:47.036 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:00:52.404 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:00:52.521 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:00:52.525 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:00:52.581 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
2025-03-15 14:01:06.063 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:06.850 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:07.800 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:12.808 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
2025-03-15 14:01:12.811 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:12.981 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:13.039 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:29.867 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:31.532 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:32.468 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:36.272 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
2025-03-15 14:01:36.362 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:36.654 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-15 14:01:49.565 | ERROR    | __main__:process_error:244 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-18 22:31:08.951 | INFO     | __main__:<module>:463 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-18 22:32:56.799 | INFO     | __main__:<module>:461 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-18 22:43:17.081 | INFO     | __main__:<module>:461 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-23 10:42:42.771 | INFO     | __main__:<module>:461 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-23 10:43:28.639 | INFO     | __main__:signal_handler:81 - 程序退出，正在清理缓存...
2025-03-23 11:38:14.142 | ERROR    | __main__:<module>:607 - Server error: 
2025-03-23 11:39:30.824 | ERROR    | __main__:<module>:609 - Server error: 
2025-03-23 11:40:27.415 | ERROR    | __main__:<module>:610 - Server error: 
2025-03-23 11:41:49.775 | ERROR    | __main__:<module>:612 - Server error: 
2025-03-23 11:47:25.702 | ERROR    | __main__:<module>:612 - Server error: 
2025-03-23 11:48:05.784 | INFO     | __main__:<module>:461 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-23 11:51:20.145 | INFO     | __main__:<module>:461 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-23 12:01:08.690 | INFO     | __main__:<module>:566 - Serving HTTP on 0.0.0.0 port 8080 (https://127.0.0.1:8080...)
2025-03-23 12:01:31.277 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\911a5e31f447943ea9778810e5c15286
2025-03-23 12:01:31.452 | INFO     | __main__:read:171 - 使用缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\911a5e31f447943ea9778810e5c15286
2025-03-23 12:01:31.507 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\5fe9d6fb2a25882cbddb0313549152b4
2025-03-23 12:01:31.830 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\3d16b7c4addd830028a9a40389b47281
2025-03-23 12:01:31.926 | INFO     | __main__:read:171 - 使用缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\5fe9d6fb2a25882cbddb0313549152b4
2025-03-23 12:01:32.142 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\ed62e6b06c15268ef1f89320bbe3e17e
2025-03-23 12:01:36.542 | INFO     | __main__:read:171 - 使用缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\ed62e6b06c15268ef1f89320bbe3e17e
2025-03-23 12:01:37.688 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\87e843e30dd924837e7e9d0b805cd53f
2025-03-23 12:01:37.757 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\59672175572450c9212703709d61130c
2025-03-23 12:01:38.036 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\56ef860492624a7ee7114483295e776f
2025-03-23 12:01:38.094 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\3aef2c046d7d7f4e2d8d3362e602ef24
2025-03-23 12:01:38.579 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\1fda2084a94b2d400268368aa1ef03d6
2025-03-23 12:01:39.454 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\48db939a680fa53d64b63f7abcb3a4c9
2025-03-23 12:01:46.376 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\64cf9c9d26bbca1143cde3b1f3df20a7
2025-03-23 12:01:46.591 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\75e70dee6e76dd124cbef84eb0d262ff
2025-03-23 12:01:46.747 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\a0dd7884a53c82b6bf58669594e0e16a
2025-03-23 12:01:49.592 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\add8c0855fca6ec2dc1acee9fd74354f
2025-03-23 12:01:50.853 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\6cfa2058ea413f1fad0fdf7ad774377e
2025-03-23 12:01:50.932 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\4a56afd797c94a676c6a978923db929b
2025-03-23 12:01:51.290 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\5027cb48eac66541b0953c070358d0fc
2025-03-23 12:01:51.426 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\ac92b279b6c50a899bd7183882395816
2025-03-23 12:01:51.626 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\9ad1986b0b2a549adc7c76741c619051
2025-03-23 12:01:51.746 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\5f577015b545589b0c66b8f13462965f
2025-03-23 12:01:53.608 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\18fc6d10dfd5cd4f59580b7290942694
2025-03-23 12:02:00.138 | ERROR    | __main__:process_error:357 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-23 12:02:00.328 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\d22fe97ca04903b1ffbfc53a0821f6e9
2025-03-23 12:02:00.776 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\f4215d7cacc9e80dcdaf8843f066b862
2025-03-23 12:02:01.269 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\e58d953d112f44e4b19887b474cec9d9
2025-03-23 12:02:01.419 | ERROR    | __main__:process_error:357 - Proxy error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
2025-03-23 12:02:03.022 | ERROR    | __main__:do_request:453 - Proxy异常: [WinError 10053] 你的主机中的软件中止了一个已建立的连接。
2025-03-23 12:02:03.214 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\e81c1f5749545c5f7d247b3a100ffe62
2025-03-23 12:02:03.720 | INFO     | __main__:read:171 - 使用缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\e81c1f5749545c5f7d247b3a100ffe62
2025-03-23 12:02:04.472 | INFO     | __main__:write:180 - 已缓存文件: C:\Users\赵晨旭\Desktop\SilkRoad\temp\cache\9c60116e10fa3c47ed6432a403d9c8c3
